"","TPR","TDR","FPR","ACC","SHD","runtime"
"mpc10_2_500_1_0.05.csv",0.75,0.9,0.0303030303030303,0.911111111111111,10,0.0280000000002474
"mpc10_2_500_2_0.05.csv",0.8,1,0,0.955555555555556,3,0.0219999999999345
"mpc10_2_500_3_0.05.csv",0.875,0.875,0.027027027027027,0.955555555555556,2,0.00900000000001455
"mpc10_2_500_4_0.05.csv",0.642857142857143,1,0,0.888888888888889,11,0.0370000000002619
"mpc10_2_500_5_0.05.csv",0.833333333333333,0.833333333333333,0.0256410256410256,0.955555555555556,2,0.00500000000010914
"mpc10_2_500_6_0.05.csv",1,1,0,1,0,0.0100000000002183
"mpc10_2_500_7_0.05.csv",0.846153846153846,1,0,0.955555555555556,4,0.0300000000006548
"mpc10_2_500_8_0.05.csv",0.888888888888889,1,0,0.977777777777778,6,0.0330000000003565
"mpc10_2_500_9_0.05.csv",0.846153846153846,1,0,0.955555555555556,5,0.0330000000003565
"mpc10_2_500_10_0.05.csv",0.9,0.9,0.0285714285714286,0.955555555555556,2,0.0349999999998545
"mpc10_2_500_11_0.05.csv",0.909090909090909,1,0,0.977777777777778,3,0.0250000000005457
"mpc10_2_500_12_0.05.csv",0.9,0.9,0.0285714285714286,0.955555555555556,3,0.0160000000005311
"mpc10_2_500_13_0.05.csv",0.909090909090909,0.833333333333333,0.0588235294117647,0.933333333333333,6,0.043999999999869
"mpc10_2_500_14_0.05.csv",1,0.888888888888889,0.027027027027027,0.977777777777778,1,0.0260000000007494
"mpc10_2_500_15_0.05.csv",0.777777777777778,0.875,0.0277777777777778,0.933333333333333,3,0.0119999999997162
"mpc10_2_500_16_0.05.csv",0.666666666666667,1,0,0.911111111111111,10,0.00800000000072032
"mpc10_2_500_17_0.05.csv",0.625,0.909090909090909,0.0344827586206897,0.844444444444444,12,0.0399999999999636
"mpc10_2_500_18_0.05.csv",0.769230769230769,0.909090909090909,0.03125,0.911111111111111,9,0.0330000000003565
"mpc10_2_500_19_0.05.csv",1,1,0,1,0,0.0369999999993524
"mpc10_2_500_20_0.05.csv",0.888888888888889,1,0,0.977777777777778,2,0.0109999999995125
"mpc10_2_500_21_0.05.csv",1,1,0,1,0,0.00799999999981083
"mpc10_2_500_22_0.05.csv",0.875,1,0,0.977777777777778,3,0.00700000000051659
"mpc10_2_500_23_0.05.csv",0.714285714285714,1,0,0.911111111111111,6,0.0410000000001673
"mpc10_2_500_24_0.05.csv",1,1,0,1,0,0.00499999999919964
"mpc10_2_500_25_0.05.csv",0.615384615384615,0.888888888888889,0.03125,0.866666666666667,8,0.0149999999994179
"mpc10_2_500_26_0.05.csv",0.625,0.833333333333333,0.027027027027027,0.911111111111111,7,0.0100000000002183
"mpc10_2_500_27_0.05.csv",1,1,0,1,0,0.0219999999999345
"mpc10_2_500_28_0.05.csv",1,1,0,1,0,0.0190000000002328
"mpc10_2_500_29_0.05.csv",0.555555555555556,0.714285714285714,0.0555555555555556,0.866666666666667,7,0.00799999999981083
"mpc10_2_500_30_0.05.csv",1,0.857142857142857,0.0256410256410256,0.977777777777778,1,0.0120000000006257
"mpc10_2_500_1_0.01.csv",0.75,0.9,0.0303030303030303,0.911111111111111,10,0.0349999999998545
"mpc10_2_500_2_0.01.csv",0.8,1,0,0.955555555555556,3,0.0209999999997308
"mpc10_2_500_3_0.01.csv",0.875,1,0,0.977777777777778,1,0.00799999999981083
"mpc10_2_500_4_0.01.csv",0.714285714285714,1,0,0.911111111111111,7,0.0470000000004802
"mpc10_2_500_5_0.01.csv",0.833333333333333,1,0,0.977777777777778,1,0.00399999999990541
"mpc10_2_500_6_0.01.csv",1,1,0,1,0,0.0100000000002183
"mpc10_2_500_7_0.01.csv",0.769230769230769,1,0,0.933333333333333,6,0.0230000000001382
"mpc10_2_500_8_0.01.csv",0.888888888888889,1,0,0.977777777777778,6,0.0379999999995562
"mpc10_2_500_9_0.01.csv",0.846153846153846,1,0,0.955555555555556,3,0.0320000000001528
"mpc10_2_500_10_0.01.csv",0.9,1,0,0.977777777777778,1,0.0349999999998545
"mpc10_2_500_11_0.01.csv",0.727272727272727,1,0,0.933333333333333,6,0.0150000000003274
"mpc10_2_500_12_0.01.csv",0.9,1,0,0.977777777777778,2,0.0140000000001237
"mpc10_2_500_13_0.01.csv",0.909090909090909,1,0,0.977777777777778,4,0.0450000000000728
"mpc10_2_500_14_0.01.csv",1,1,0,1,0,0.0140000000001237
"mpc10_2_500_15_0.01.csv",0.555555555555556,1,0,0.911111111111111,5,0.00599999999940337
"mpc10_2_500_16_0.01.csv",0.583333333333333,1,0,0.888888888888889,11,0.00599999999940337
"mpc10_2_500_17_0.01.csv",0.625,1,0,0.866666666666667,11,0.0360000000000582
"mpc10_2_500_18_0.01.csv",0.769230769230769,1,0,0.933333333333333,8,0.0189999999993233
"mpc10_2_500_19_0.01.csv",0.9,1,0,0.977777777777778,4,0.0159999999996217
"mpc10_2_500_20_0.01.csv",0.888888888888889,1,0,0.977777777777778,2,0.0239999999994325
"mpc10_2_500_21_0.01.csv",1,1,0,1,0,0.00800000000072032
"mpc10_2_500_22_0.01.csv",0.875,1,0,0.977777777777778,3,0.0069999999996071
"mpc10_2_500_23_0.01.csv",0.642857142857143,1,0,0.888888888888889,7,0.0230000000001382
"mpc10_2_500_24_0.01.csv",1,1,0,1,0,0.00500000000010914
"mpc10_2_500_25_0.01.csv",0.615384615384615,0.888888888888889,0.03125,0.866666666666667,8,0.0280000000002474
"mpc10_2_500_26_0.01.csv",0.625,0.833333333333333,0.027027027027027,0.911111111111111,7,0.00900000000001455
"mpc10_2_500_27_0.01.csv",1,1,0,1,0,0.00900000000001455
"mpc10_2_500_28_0.01.csv",1,1,0,1,0,0.0190000000002328
"mpc10_2_500_29_0.01.csv",0.555555555555556,1,0,0.911111111111111,5,0.00700000000051659
"mpc10_2_500_30_0.01.csv",1,1,0,1,0,0.0250000000005457
"mpc10_2_500_1_0.005.csv",0.75,0.9,0.0303030303030303,0.911111111111111,10,0.0219999999999345
"mpc10_2_500_2_0.005.csv",0.8,1,0,0.955555555555556,3,0.0209999999997308
"mpc10_2_500_3_0.005.csv",0.875,1,0,0.977777777777778,1,0.0209999999997308
"mpc10_2_500_4_0.005.csv",0.714285714285714,1,0,0.911111111111111,7,0.0330000000003565
"mpc10_2_500_5_0.005.csv",0.833333333333333,1,0,0.977777777777778,1,0.00500000000010914
"mpc10_2_500_6_0.005.csv",1,1,0,1,0,0.0100000000002183
"mpc10_2_500_7_0.005.csv",0.769230769230769,1,0,0.933333333333333,6,0.0370000000002619
"mpc10_2_500_8_0.005.csv",0.888888888888889,1,0,0.977777777777778,6,0.0250000000005457
"mpc10_2_500_9_0.005.csv",0.846153846153846,1,0,0.955555555555556,3,0.045999999999367
"mpc10_2_500_10_0.005.csv",0.9,1,0,0.977777777777778,1,0.0219999999999345
"mpc10_2_500_11_0.005.csv",0.727272727272727,1,0,0.933333333333333,6,0.0140000000001237
"mpc10_2_500_12_0.005.csv",0.9,1,0,0.977777777777778,2,0.0270000000000437
"mpc10_2_500_13_0.005.csv",0.909090909090909,1,0,0.977777777777778,4,0.0299999999997453
"mpc10_2_500_14_0.005.csv",1,1,0,1,0,0.0139999999992142
"mpc10_2_500_15_0.005.csv",0.555555555555556,1,0,0.911111111111111,5,0.0189999999993233
"mpc10_2_500_16_0.005.csv",0.583333333333333,1,0,0.888888888888889,11,0.00599999999940337
"mpc10_2_500_17_0.005.csv",0.625,1,0,0.866666666666667,11,0.0219999999999345
"mpc10_2_500_18_0.005.csv",0.769230769230769,1,0,0.933333333333333,10,0.0190000000002328
"mpc10_2_500_19_0.005.csv",0.9,1,0,0.977777777777778,4,0.0290000000004511
"mpc10_2_500_20_0.005.csv",0.777777777777778,1,0,0.955555555555556,3,0.0100000000002183
"mpc10_2_500_21_0.005.csv",1,1,0,1,0,0.00799999999981083
"mpc10_2_500_22_0.005.csv",0.875,1,0,0.977777777777778,3,0.00700000000051659
"mpc10_2_500_23_0.005.csv",0.642857142857143,1,0,0.888888888888889,7,0.0360000000000582
"mpc10_2_500_24_0.005.csv",1,1,0,1,0,0.00499999999919964
"mpc10_2_500_25_0.005.csv",0.615384615384615,0.888888888888889,0.03125,0.866666666666667,8,0.0140000000001237
"mpc10_2_500_26_0.005.csv",0.625,0.833333333333333,0.027027027027027,0.911111111111111,7,0.00900000000001455
"mpc10_2_500_27_0.005.csv",1,1,0,1,0,0.00799999999981083
"mpc10_2_500_28_0.005.csv",1,1,0,1,0,0.0309999999999491
"mpc10_2_500_29_0.005.csv",0.555555555555556,1,0,0.911111111111111,5,0.00600000000031287
